minute,second,period,type,outcomeType,prog_pass,prog_carry,xT,x,y,endX,endY
0,9,FirstHalf,Pass,Unsuccessful,13.408839747390815,0,,54.6,5.372000000000001,62.160000000000004,21.76
0,23,FirstHalf,Carry,Successful,0,-0.31024050522368896,-0.00058186,28.455000000000002,15.028000000000002,27.090000000000003,19.924000000000003
0,24,FirstHalf,Pass,Successful,-5.368123378040991,0,-0.0009391300000000016,27.090000000000003,19.924000000000003,20.475,35.564
1,24,FirstHalf,OffsideProvoked,Successful,0,0,,34.86000000000001,42.432,,
1,45,FirstHalf,Pass,Successful,-2.9150249621885678,0,-0.0008183100000000009,28.980000000000004,16.048000000000002,30.03,3.2640000000000002
3,18,FirstHalf,Carry,Successful,0,-5.188348231365325,-0.0015871199999999992,36.330000000000005,19.108000000000004,30.87,19.924000000000003
3,19,FirstHalf,Pass,Successful,-5.395554045262585,0,-0.0009391300000000016,30.87,19.924000000000003,24.150000000000002,34.136
6,34,FirstHalf,Pass,Successful,-3.739060818730991,0,0.0008141799999999994,20.055000000000003,17.884,14.805,33.11600000000001
7,46,FirstHalf,Carry,Successful,0,-9.227542479189239,-0.00274078,44.625,52.904,33.705000000000005,47.124
8,5,FirstHalf,Pass,Successful,-7.517851025866577,0,-0.0009391300000000016,33.705000000000005,47.124,24.990000000000002,34.34
8,10.5,FirstHalf,Carry,Successful,0,3.7456914152758145,0,28.77,49.096000000000004,32.550000000000004,48.89200000000001
8,12,FirstHalf,Pass,Successful,-5.415347256599901,0,-0.0009391300000000016,32.550000000000004,48.89200000000001,25.62,33.932
8,16.5,FirstHalf,Carry,Successful,0,1.383270058624916,0,36.435,54.74,38.64,57.05200000000001
8,18,FirstHalf,Pass,Successful,9.68276647403416,0,0.0016982100000000003,38.64,57.05200000000001,49.875,59.092000000000006
11,0,FirstHalf,Pass,Successful,45.94553047714476,0,0.09542455999999999,42.945,40.324,88.62,35.292
13,5,FirstHalf,Pass,Successful,-6.45165333367062,0,-0.0004294100000000016,31.395,51.34,23.1,39.304
13,29,FirstHalf,Pass,Successful,-8.4804397624102,0,0.0014034000000000008,26.775000000000002,52.29200000000001,16.275000000000002,38.012
13,41.5,FirstHalf,Carry,Successful,0,-1.004087972087973,0.0008183100000000009,34.545,62.628,31.605000000000004,57.46
13,44,FirstHalf,Pass,Unsuccessful,20.649081889659882,0,,31.605000000000004,57.46,48.72,37.74
15,51,FirstHalf,Save,Successful,0,0,,14.700000000000001,24.276000000000003,,
16,31,FirstHalf,Pass,Successful,-10.173971229598735,0,-0.0005439199999999998,24.150000000000002,59.024,10.605,42.84
18,17,FirstHalf,Aerial,Unsuccessful,0,0,,35.07,26.860000000000003,,
20,38,FirstHalf,Pass,Successful,5.463927145795793,0,0.00033624999999999974,43.155,54.196000000000005,51.87,7.004000000000001
22,18,FirstHalf,Pass,Successful,7.1973116086874,0,0.0008975500000000004,7.14,17.272000000000002,13.440000000000001,43.79200000000001
23,23,FirstHalf,Clearance,Successful,0,0,,13.545000000000002,23.392,46.2,68
24,23,FirstHalf,Pass,Successful,8.986684002389708,0,-8.600000000000968e-7,16.695,49.232000000000006,28.77,60.248
24,33.5,FirstHalf,Carry,Successful,0,9.862717136473066,0.0011710800000000014,22.47,58.276,31.185000000000002,52.768
24,37,FirstHalf,Pass,Successful,-3.029345621221637,0,-0.0008183100000000009,31.185000000000002,52.768,32.97,66.912
25,6,FirstHalf,Aerial,Successful,0,0,,8.925,33.252,,
25,7,FirstHalf,Clearance,Successful,0,0,,8.925,33.252,12.495000000000001,38.760000000000005
28,54,FirstHalf,Pass,Successful,18.387534191720434,0,0.005679420000000001,44.205000000000005,45.084,61.95,39.57600000000001
29,2,FirstHalf,Pass,Successful,22.075714438889165,0,0.010169809999999998,44.1,54.944,70.14,58.004000000000005
30,57,FirstHalf,BallRecovery,Successful,0,0,,13.65,58.412000000000006,13.65,58.412000000000006
30,58.5,FirstHalf,Carry,Successful,0,-1.6138507008732859,-0.0009897299999999994,13.65,58.412000000000006,14.490000000000002,66.504
31,0,FirstHalf,Pass,Unsuccessful,39.733221249970796,0,,14.490000000000002,66.504,59.955000000000005,68
31,32,FirstHalf,Aerial,Unsuccessful,0,0,,13.125,32.844,,
34,11,FirstHalf,Carry,Successful,0,12.131811070072018,0.00416422,43.365,45.900000000000006,55.86000000000001,46.24
34,12,FirstHalf,Pass,Successful,-0.8386114492333263,0,-0.0021200000000000004,55.86000000000001,46.24,60.795,60.384
34,24,FirstHalf,Pass,Unsuccessful,46.845860906534014,0,,45.675000000000004,61.268,89.04,43.248000000000005
37,18,FirstHalf,Clearance,Successful,0,0,,24.675,33.11600000000001,31.605000000000004,27.948000000000004
38,32,FirstHalf,BallRecovery,Successful,0,0,,4.41,51.748,4.41,51.748
38,32,FirstHalf,Pass,Successful,1.343802657762211,0,0.0019098400000000003,4.305,51.884,4.095,31.892000000000003
39,14,FirstHalf,Carry,Successful,0,-3.4813134280234266,-0.0014860800000000007,36.96000000000001,65.28,32.97,64.87200000000001
39,19,FirstHalf,Dispossessed,Successful,0,0,,32.97,64.87200000000001,,
40,17.5,FirstHalf,Carry,Successful,0,-13.967922304842709,-0.0020492999999999987,58.17,32.232,44.52,40.528000000000006
40,19,FirstHalf,BallTouch,Successful,0,0,,44.52,40.528000000000006,,
40,25,FirstHalf,Pass,Successful,-3.25271769549763,0,0.0035479100000000013,73.815,10.948000000000002,78.855,1.088
43,55,FirstHalf,Clearance,Successful,0,0,,4.41,13.192,,
43,57,FirstHalf,Pass,Successful,0.31517374581331126,0,-0.0011176900000000002,6.93,11.016,8.715000000000002,5.508
45,7.5,FirstHalf,Carry,Successful,0,-5.83563382965454,0,50.925000000000004,33.660000000000004,45.675000000000004,42.364000000000004
45,10,FirstHalf,Pass,Successful,-1.5310546876546596,0,-0.0023625399999999998,45.675000000000004,42.364000000000004,49.35,60.044000000000004
45,33,FirstHalf,Clearance,Successful,0,0,,39.480000000000004,23.936000000000003,64.365,24.14
45,49,FirstHalf,Aerial,Successful,0,0,,56.07,38.828,,
45,49,FirstHalf,Pass,Unsuccessful,15.324660889219572,0,,56.07,38.828,71.715,40.120000000000005
46,53,FirstHalf,Pass,Unsuccessful,13.970342771252554,0,,35.49,19.312,48.300000000000004,27.472
51,24,SecondHalf,Aerial,Successful,0,0,,42.63,46.24,,
51,24,SecondHalf,Clearance,Successful,0,0,,42.63,46.24,52.185,50.048
51,41,SecondHalf,Pass,Successful,14.18765688932664,0,0.0035222199999999995,33.39,31.212,47.775,28.628000000000004
55,23,SecondHalf,Pass,Successful,10.242884876038246,0,0.0013679799999999995,28.245,38.556000000000004,39.375,45.628
57,7,SecondHalf,BallRecovery,Successful,0,0,,12.285,11.016,12.285,11.016
57,8,SecondHalf,Pass,Successful,-4.220649859768315,0,0.0006246700000000008,10.605,10.744000000000002,3.57,32.708000000000006
71,28,SecondHalf,Aerial,Successful,0,0,,24.885,19.788000000000004,,
71,29,SecondHalf,Clearance,Successful,0,0,,24.885,19.788000000000004,28.875,26.860000000000003
71,33,SecondHalf,Clearance,Successful,0,0,,19.215,26.792,34.44,56.236000000000004
74,34,SecondHalf,Pass,Successful,-11.487024583529603,0,-0.0006024800000000007,19.53,19.516000000000002,6.825,34.34
76,59,SecondHalf,BallTouch,Successful,0,0,,24.78,34,,
77,50,SecondHalf,Pass,Successful,-0.05230721329118637,0,-0.00015244999999999842,22.89,30.464,23.94,47.87200000000001
82,57,SecondHalf,Clearance,Successful,0,0,,21.525000000000002,16.116,22.365000000000002,0
84,56,SecondHalf,Pass,Unsuccessful,18.73351420425994,0,,50.19,62.83200000000001,66.36,53.312000000000005
85,40,SecondHalf,Pass,Successful,4.370821729163989,0,0.004700530000000001,72.45,31.688000000000002,78.22500000000001,24.956000000000003
87,35,SecondHalf,BallTouch,Unsuccessful,0,0,,76.755,23.12,,
90,28,SecondHalf,Aerial,Unsuccessful,0,0,,78.54,23.12,,
90,51,SecondHalf,Aerial,Successful,0,0,,91.35000000000001,33.660000000000004,,
90,52,SecondHalf,MissedShots,Successful,0,0,,91.35000000000001,33.660000000000004,,
97,11,SecondHalf,BallRecovery,Successful,0,0,,43.050000000000004,21.896000000000004,43.050000000000004,21.896000000000004
97,12,SecondHalf,Pass,Successful,14.802242363484638,0,0.004203539999999999,43.050000000000004,21.896000000000004,56.7,35.36
97,27,SecondHalf,SavedShot,Successful,0,0,,100.48500000000001,35.02,,
97,28,SecondHalf,ShotOnPost,Successful,0,0,,101.115,34.952,,
